name,value
Tom Lantos,24.91999757
Edward R. Royce,24.56696945
Benjamin A. Gilman,19.84300202
Mike Rogers,15.63613333
Carolyn B. Maloney,15.4557206
Richard L. Hanna,14.97803001
Edward J. Markey,14.48241882
Ileana Ros-Lehtinen,14.06158571
Frank R. Wolf,14.04417389
John Joseph Moakley,13.27667669
Michael M. Honda,13.15954274
Don Young,11.93053898
Steve King,11.92145786
Philip M. Crane,11.77160735
"Jesse L. Jackson, Jr.",11.39579117
Christopher H. Smith,10.97522223
Ro Khanna,10.74800012
Tom DeLay,10.64003981
David N. Cicilline,10.36079129
Joe Scarborough,9.736571455
W. J. (Billy) Tauzin,9.513783032
George Miller,9.447190351
David Wu,9.293575139
Edward M. Kennedy,9.225367786
Ellen O. Tauscher,8.775374576
James P. McGovern,8.413414783
John Lewis,8.250456531
Adam Kinzinger,8.186767411
Harold Rogers,7.581408636
Michael F. Doyle,7.538845261
Richard Burr,7.091908028
Nancy E. Boyda,6.822834481
Bennie G. Thompson,6.60447708
Joseph I. Lieberman,6.517049946
Ted Poe,6.456902306
Helen Chenoweth-Hage,6.452850327
Carolyn McCarthy,6.211530428
Tom Davis,6.183645884
Eliot L. Engel,6.137636315
Robert Menendez,6.028231503
Gordon H. Smith,6.020558071
Ted Lieu,5.911458968
Steny H. Hoyer,5.870935986
Julia Carson,5.79817832
Mary L. Landrieu,5.789493173
Hakeem S. Jeffries,5.774710611
Wm. Lacy Clay,5.74856012
Heather Wilson,5.736545548
Patrick J. Leahy,5.720478974
David B. McKinley,5.664783343
Anna G. Eshoo,5.623730529
Peter T. King,5.55402585
Richard J. Durbin,5.408875463
Stephanie Tubbs Jones,5.352257171
Dennis J. Kucinich,5.344994735
Jerrold Nadler,5.343400157
James M. Inhofe,5.221756613
"John Conyers, Jr.",5.186130161
Kevin Yoder,5.178727566
"Frank Pallone, Jr.",5.053226849
Richard G. Lugar,4.865888425
Anthony D. Weiner,4.766678611
John F. Kerry,4.752977588
Nita M. Lowey,4.620090207
Henry J. Hyde,4.245503514
Lamar Smith,4.099508608
Sam Gejdenson,3.998483053
Jackie Speier,3.981007701
Nan A. S. Hayworth,3.978340714
Janice D. Schakowsky,3.94664588
Rush Holt,3.828524035
Thaddeus G. McCotter,3.791523359
Ron Kind,3.782227295
Betty McCollum,3.77977266
Olympia J. Snowe,3.764777135
Zoe Lofgren,3.738789084
Stephen Lee Fincher,3.641015411
Max Baucus,3.602552672
Mike Coffman,3.541523158
Peter A. DeFazio,3.473910345
Lynn C. Woolsey,3.378687252
Tony P. Hall,3.356143947
Byron L. Dorgan,3.28998513
Sam Johnson,3.237085526
Raul M. Grijalva,3.138247102
Benjamin L. Cardin,3.11209578
"F. James Sensenbrenner, Jr.",3.06961671
Charles E. Schumer,3.068646742
Mac Thornberry,3.065163643
Jeff Bingaman,3.061265198
Dianne Feinstein,3.046071748
Rosa L. DeLauro,3.044442244
Marsha Blackburn,3.039978264
Sheila Jackson Lee,3.036182668
John F. Tierney,3.025730168
Brian J. Mast,3.008702281
Barney Frank,2.983088051
