Person_name,score
Ken Buck,0.15
Albio Sires,0.15
Chrissy Houlahan,0.15
Brad Sherman,0.15
Kathleen M. Rice,0.15
Josh Gottheimer,0.15
Lamar Smith,0.15
Patrick Meehan,0.15
Doris O. Matsui,0.15
Ralph M. Hall,0.15
Ben Ray Lujan,0.15
Mike J. Rogers,0.15
Scott Garrett,0.15
Chris Stewart,0.15
Elizabeth H. Esty,0.15
Thomas Massie,0.15
"John Conyers, Jr.",0.15
Jared Polis,0.15
Tom Emmer,0.15
Kristi L. Noem,0.15
Susan W. Brooks,0.15
Matt Salmon,0.15
Richard B. Nugent,0.15
Ryan A. Costello,0.15
Jeb Hensarling,0.15
David P. Joyce,0.15
Roscoe G. Bartlett,0.15
Robert E. Andrews,0.15
Norman D. Dicks,0.15
Ami Bera,0.15
Dean Phillips,0.15
Adam B. Schiff,0.15
James A. Himes,0.15
Mike Quigley,0.15
Patrick Murphy,0.15
Rick W. Allen,0.15
Pete Aguilar,0.15
Tom Graves,0.15
Richard L. Hanna,0.15
Allyson Y. Schwartz,0.15
Steven M. Palazzo,0.15
Nick J. Rahall II,0.15
Raul Ruiz,0.15
Daniel B. Maffei,0.15
Kerry L. Bentivolio,0.15
Pedro R. Pierluisi,0.15
Mark Pocan,0.15
Gregory W. Meeks,0.15
Jamie Raskin,0.15
Bobby L. Rush,0.15
"Sanford D. Bishop, Jr.",0.15
Eleanor Holmes Norton,0.15
Bonnie Watson Coleman,0.15
Louise McIntosh Slaughter,0.15
Frederica S Wilson,0.15
Robert C Scott,0.15
David Scott,0.15
Jared Huffman,0.15
Danny K Davis,0.15
Cedric L Richmond,0.15
Marcia L Fudge,0.15
Karen Bass,0.15
G Butterfield,0.15
Elijah E Cummings,0.15
Al Green,0.15
Maxine Waters,0.15
Donald M Payne,0.15
Judy Chu,0.15
Anna G Eshoo,0.15
Adam Smith,0.15
John A Yarmuth,0.15
Ro Khanna,0.15
Pramila Jayapal,0.15
Betty McCollum,0.15
James P. Moran,0.15
Madeleine Z. Bordallo,0.15
Michael E. McMahon,0.15
Eric J. J. Massa,0.15
Anna G. Eshoo,0.15
John A. Boccieri,0.15
Warren Davidson,0.15
Suzan K. DelBene,0.15
Jesus G. Garcia,0.15
Peter A. DeFazio,0.15
Yvette D Clarke,0.15
Ron Barber,0.15
Steven Horsford,0.15
Dan Newhouse,0.15
Kendra S. Horn,0.15
Denver Riggleman,0.15
Elissa Slotkin,0.15
Joseph D. Morelle,0.15
J. Luis Correa,0.15
Val Butler Demings,0.15
"Gilbert Ray Cisneros, Jr.",0.15
Robin L. Kelly,0.15
Barry Loudermilk,0.15
Harley Rouda,0.15
Xochitl Torres Small,0.15
Katie Hill,0.15
Nanette Diaz Barragan,0.15
TJ Cox,0.15
Matt Cartwright,0.15
Cathy McMorris Rodgers,0.15
Conor Lamb,0.15
Cynthia Axne,0.15
Colin Z. Allred,0.15
David J. Trone,0.15
Abigail Davis Spanberger,0.15
Mark Walker,0.15
Andy Kim,0.15
Jenniffer Gonzalez-Colon,0.15
Ed Case,0.15
Tony Cardenas,0.15
Susan Wild,0.15
Seth Moulton,0.15
Pete Stauber,0.15
Anthony G. Brown,0.15
John Joyce,0.15
Susan A. Davis,0.15
Mike D. Rogers,0.15
Clay Higgins,0.15
Salud O. Carbajal,0.15
Lauren Underwood,0.15
Van Taylor,0.15
"Eric A. ""Rick"" Crawford",0.15
Max Rose,0.15
David B. McKinley,0.15
Abby Finkenauer,0.15
Debbie Lesko,0.15
Anthony Brindisi,0.15
Michael R. Turner,0.15
Marcy Kaptur,0.15
Ted Poe,0.15
Gus M. Bilirakis,0.15
Michael C. Burgess,0.15
Dina Titus,0.15
John Shimkus,0.15
David N Cicilline,0.15
William R Keating,0.15
James A Himes,0.15
Sander M Levin,0.15
David A Trott,0.15
Bill Pascrell,0.15
Randy K Weber,0.15
Nita M Lowey,0.15
Bobby L Rush,0.15
Gerald E Connolly,0.15
Brenda L. Lawrence,0.15
Wm. Lacy Clay,0.15
Grace Meng,0.15
"Randy K. Weber, Sr.",0.15
Frederica S. Wilson,0.15
"Robert C. ""Bobby"" Scott",0.15
Nita M. Lowey,0.15
Hakeem S. Jeffries,0.15
Andre Carson,0.15
Bob Goodlatte,0.15
Trent Franks,0.15
Jerrold Nadler,0.15
Trey Gowdy,0.15
Darrell E. Issa,0.15
Theodore E. Deutch,0.15
Mimi Walters,0.15
David A. Trott,0.15
Christopher H. Smith,0.15
Peter Welch,0.15
Lois Capps,0.15
Tom Marino,0.15
Ann M. Kuster,0.15
David Wu,0.15
Mo Brooks,0.15
Barbara Comstock,0.15
Randy Hultgren,0.15
Stephen Knight,0.15
Darin LaHood,0.15
Roger W. Marshall,0.15
Claudia Tenney,0.15
Neal P. Dunn,0.15
Suzanne Bonamici,0.15
Don Bacon,0.15
Denny Heck,0.15
Ed Perlmutter,0.15
Scott R. Tipton,0.15
Daniel E. Lungren,0.15
Jane Harman,0.15
Christopher P. Carney,0.15
Robert A. Brady,0.15
Erik Paulsen,0.15
Steve Austria,0.15
"Anh ""Joseph"" Cao",0.15
Mary Jo Kilroy,0.15
Thaddeus G. McCotter,0.15
Jason Chaffetz,0.15
Kevin Yoder,0.15
Scott Taylor,0.15
Kay Granger,0.15
Kevin McCarthy,0.15
Steny H. Hoyer,0.15
Tim Ryan,0.15
Brad R. Wenstrup,0.15
Troy Balderson,0.15
Nydia M. Velazquez,0.15
Tim Burchett,0.15
Angie Craig,0.15
Sam Farr,0.15
Jim McDermott,0.15
Martin Frost,0.15
Raul M. Grijalva,0.15
Mark Udall,0.15
Timothy J. Ryan,0.15
Lynn C. Woolsey,0.15
Lloyd Doggett,0.15
Fortney Pete Stark,0.15
Dennis J. Kucinich,0.15
Rush Holt,0.15
Stephanie Tubbs Jones,0.15
"John M. Spratt, Jr.",0.15
Chris Van Hollen,0.15
John Lewis,0.15
Eric Swalwell,0.15
Brian Higgins,0.15
Tom Udall,0.15
Raja Krishnamoorthi,0.15
Emanuel Cleaver,0.15
G. K. Butterfield,0.15
James E. Clyburn,0.15
"Al Lawson, Jr.",0.15
Stacey E. Plaskett,0.15
