name,value
Benjamin A. Gilman,32.3221217
W. J. (Billy) Tauzin,22.18079906
Tom Davis,21.30435184
Joe Scarborough,19.3741302
Don Young,17.61276427
Tom DeLay,17.14433982
Helen Chenoweth-Hage,15.10587385
Philip M. Crane,14.39390416
John Joseph Moakley,13.13440064
Edward J. Markey,12.58120066
"John Conyers, Jr.",11.08034156
Edward M. Kennedy,11.04635384
Heather Wilson,10.72180795
Ileana Ros-Lehtinen,10.45278196
Harold Rogers,9.331262958
Thaddeus G. McCotter,9.289512074
Richard Burr,8.975486079
Mac Thornberry,8.021635546
Jim Saxton,8.018489251
Ellen O. Tauscher,7.855212869
Greg Ganske,7.564140823
Ted Poe,7.126544993
Christopher H. Smith,6.87243449
John F. Kerry,6.272940939
Ander Crenshaw,5.849766714
Rush Holt,5.110561821
Richard G. Lugar,4.888661592
Ernest F. Hollings,4.723057997
Lynn C. Woolsey,4.703546775
Dianne Feinstein,4.104275142
Jeff Bingaman,3.789998817
Fred Upton,3.757054598
Mike DeWine,3.6772914
Bennie G. Thompson,3.676818198
"F. James Sensenbrenner, Jr.",3.627516694
Olympia J. Snowe,3.58512547
Lamar Alexander,3.464121787
Richard J. Durbin,3.258054974
Christopher Shays,3.183304159
Michael N. Castle,3.181953178
Sam Graves,3.145872621
John Ashcroft,2.806087603
Jesse Helms,2.720126692
William H. Frist,2.657471334
Mary L. Landrieu,2.637160675
James P. McGovern,2.615440444
Henry J. Hyde,2.578229848
James A. Leach,2.283660249
William M. Thomas,2.22694007
John McCain,2.199935521
Bill McCollum,2.177554658
Fred Thompson,2.133226013
Chuck Hagel,2.071531017
Patrick J. Leahy,1.901448319
Juanita Millender-McDonald,1.687883103
Jim McDermott,1.387042819
Chris Cannon,1.337573614
Sam Gejdenson,1.290334366
Bob Goodlatte,1.210675713
Chuck Grassley,1.167611588
John J. Duncan,1.15281379
Orrin G. Hatch,1.123691251
Marion Berry,1.031590271
Sue Wilkins Myrick,1.021553558
Bob Graham,1.020719868
Joseph I. Lieberman,1.019379629
Dennis J. Kucinich,0.943488808
Susan M. Collins,0.91799788
Robert C. Byrd,0.884992175
Constance A. Morella,0.874697474
Pete V. Domenici,0.831558327
Russell D. Feingold,0.782176483
Alcee L. Hastings,0.761950608
Robert W. Ney,0.740738987
Tony P. Hall,0.707672017
Jerry Weller,0.662748337
Arlen Specter,0.616691835
George W. Gekas,0.614413706
Tim Murphy,0.577580357
Ben Nighthorse Campbell,0.503443579
John P. Murtha,0.47122919
Sherwood Boehlert,0.466091143
Robert B. Aderholt,0.428547011
"Henry E. Brown, Jr.",0.380714297
Shelley Berkley,0.362869724
Daniel K. Akaka,0.360819991
Julia Carson,0.352603203
Dana Rohrabacher,0.315041661
Joseph R. Biden Jr.,0.280711158
Porter J. Goss,0.277500005
Bob Barr,0.277500005
Leonard L. Boswell,0.27197295
Ron Wyden,0.258278505
Thomas W. Ewing,0.249875006
Byron L. Dorgan,0.223975517
Blanche L. Lincoln,0.220757687
Robert Menendez,0.217974701
Daniel Patrick Moynihan,0.213750003
Lois Capps,0.203348519
Anthony D. Weiner,0.190374999
Paul D. Wellstone,0.181875001
Wayne Allard,0.181875001
