name,value
Tom Lantos,27.50174435
Benjamin A. Gilman,22.53620684
Carolyn B. Maloney,18.37605332
Richard L. Hanna,17.52931115
Edward J. Markey,16.94054259
Mike Rogers,16.66340297
John Joseph Moakley,16.04445795
Michael M. Honda,14.62443103
Frank R. Wolf,14.58949763
Don Young,13.7595319
"Jesse L. Jackson, Jr.",13.68751352
Ileana Ros-Lehtinen,13.07816609
Steve King,11.97766302
Christopher H. Smith,11.26211834
Philip M. Crane,11.233079
George Miller,11.17179188
Joe Scarborough,10.82838547
Tom DeLay,10.79542409
W. J. (Billy) Tauzin,10.6762397
Ellen O. Tauscher,10.19605166
David Wu,9.788068432
Edward M. Kennedy,9.641350078
James P. McGovern,9.539948377
John Lewis,9.516194053
Michael F. Doyle,8.950125657
Nancy E. Boyda,7.995653278
Adam Kinzinger,7.981699239
Bennie G. Thompson,7.205600201
Julia Carson,6.920316613
Dennis J. Kucinich,6.774850596
Carolyn McCarthy,6.739849442
Joseph I. Lieberman,6.712889474
Jerrold Nadler,6.684676071
Harold Rogers,6.592590297
"John Conyers, Jr.",6.398132762
Heather Wilson,6.29275972
Helen Chenoweth-Hage,6.292699924
Gordon H. Smith,6.277760076
Ted Poe,6.161083429
David N. Cicilline,6.058597564
Stephanie Tubbs Jones,6.047558979
Robert Menendez,6.02984653
Tom Davis,5.961166315
Mary L. Landrieu,5.948302222
Wm. Lacy Clay,5.807896203
Anthony D. Weiner,5.802422097
Edward R. Royce,5.775259948
Richard J. Durbin,5.713377222
Nita M. Lowey,5.54511309
Patrick J. Leahy,5.412827352
Peter T. King,5.371438539
Rush Holt,5.233716094
Richard Burr,5.132982087
"Frank Pallone, Jr.",5.103648339
James M. Inhofe,4.946617595
Ron Kind,4.898758396
Janice D. Schakowsky,4.864047892
Richard G. Lugar,4.843556497
John F. Kerry,4.836919625
Nan A. S. Hayworth,4.793650514
Ted Lieu,4.718181478
Betty McCollum,4.713484806
Sam Gejdenson,4.610337441
Mike Coffman,4.601285725
Peter A. DeFazio,4.302666396
Lynn C. Woolsey,4.280158734
Thaddeus G. McCotter,4.181567755
Raul M. Grijalva,4.157900792
Lamar Smith,4.062724552
Henry J. Hyde,3.953721661
Olympia J. Snowe,3.889266578
Max Baucus,3.822923452
John F. Tierney,3.795369433
Tony P. Hall,3.755270183
Barbara Lee,3.744582673
Rosa L. DeLauro,3.63792074
Barney Frank,3.602925561
Byron L. Dorgan,3.508730994
Sam Johnson,3.496127607
Stephen Lee Fincher,3.484402079
Tom Marino,3.429105337
Mac Thornberry,3.331791858
Charles E. Schumer,3.312212833
Sheila Jackson Lee,3.26661915
Howard P. "Buck" McKeon,3.235083712
Anna G. Eshoo,3.19940828
Judy Biggert,3.197342266
Barack Obama,3.14408547
Dianne Feinstein,3.132923341
Dennis Moore,3.089244628
Michael N. Castle,3.082142635
Jeff Bingaman,3.061864776
Jim McDermott,3.012942404
Jackie Speier,2.990468836
Zoe Lofgren,2.960585158
Fred Upton,2.91725203
Tim Murphy,2.878324506
Mark E. Amodei,2.869605668
Kent Conrad,2.863612005
"F. James Sensenbrenner, Jr.",2.863542792
Benjamin L. Cardin,2.85189772
David Scott,2.838490594
Ernest F. Hollings,2.829207018
Greg Ganske,2.813643314
James A. Leach,2.780144798
Daniel K. Akaka,2.74561287
Louise McIntosh Slaughter,2.694150041
Vernon J. Ehlers,2.68916732
Marsha Blackburn,2.659286782
Jesse Helms,2.651592711
Christopher Shays,2.633917103
Steny H. Hoyer,2.608465912
Tom Harkin,2.592007236
Nancy Pelosi,2.550176353
Bobby L. Rush,2.543009383
Jerry Moran,2.461929704
Dale E. Kildee,2.440482341
Mazie K. Hirono,2.404720831
Kathy Castor,2.397489556
Christopher J. Dodd,2.39651946
John Ashcroft,2.353947369
Jim Saxton,2.328010129
Mike DeWine,2.186462255
Bill McCollum,2.166896817
Lamar Alexander,2.161382711
Leonard Lance,2.14395577
Tammy Baldwin,2.136557162
John Campbell,2.134993401
Edolphus Towns,2.108112512
Eliot L. Engel,2.091888936
Hilda L. Solis,2.086232888
"Bill Pascrell, Jr.",2.06125774
Diane Black,1.994994221
Alcee L. Hastings,1.991140378
Gene Green,1.981814764
