name,value
Tom Lantos,29.0587097
Benjamin A. Gilman,23.19517097
Mike Rogers,18.53097624
Frank R. Wolf,18.46061539
Richard L. Hanna,18.05135654
Edward J. Markey,16.72894885
John Joseph Moakley,16.270348
"Jesse L. Jackson, Jr.",14.14869838
Don Young,13.96329896
Steve King,13.68202981
Ileana Ros-Lehtinen,13.16133152
Christopher H. Smith,11.98863156
George Miller,11.84849776
Philip M. Crane,11.70480693
Tom DeLay,11.37692427
Joe Scarborough,11.19484004
W. J. (Billy) Tauzin,11.14244738
David Wu,11.03778265
Ellen O. Tauscher,10.32990764
John Lewis,10.19853892
Edward M. Kennedy,9.714825026
James P. McGovern,9.012113482
Nancy E. Boyda,9.002480258
Michael F. Doyle,8.859275971
Bennie G. Thompson,7.432783332
Julia Carson,6.971938854
Carolyn McCarthy,6.780009168
Joseph I. Lieberman,6.77989429
Harold Rogers,6.742831098
Helen Chenoweth-Hage,6.649370066
Dennis J. Kucinich,6.590044479
Heather Wilson,6.585830736
Anthony D. Weiner,6.310027508
Stephanie Tubbs Jones,6.252189722
Tom Davis,6.207587725
Ted Poe,6.190069012
Wm. Lacy Clay,6.165486025
Gordon H. Smith,6.136310829
"John Conyers, Jr.",6.133500545
Robert Menendez,6.044589853
Mary L. Landrieu,5.950066448
Jerrold Nadler,5.703398729
Rush Holt,5.673467922
Richard J. Durbin,5.631574588
Nan A. S. Hayworth,5.389908394
Nita M. Lowey,5.289911991
"Frank Pallone, Jr.",5.208464948
Patrick J. Leahy,5.136638485
Richard Burr,5.130699787
Carolyn B. Maloney,4.943513842
John F. Kerry,4.90953111
Richard G. Lugar,4.864178301
James M. Inhofe,4.798237362
Janice D. Schakowsky,4.792640436
Sam Gejdenson,4.781786854
Thaddeus G. McCotter,4.601663374
Edward R. Royce,4.48519526
Ron Kind,4.446333507
Michael M. Honda,4.420559243
Betty McCollum,4.356357059
Henry J. Hyde,4.220629504
Tony P. Hall,4.008810228
Lynn C. Woolsey,3.999078551
Stephen Lee Fincher,3.959873224
Max Baucus,3.934654639
Olympia J. Snowe,3.845241678
Peter T. King,3.826972953
Barney Frank,3.723312421
John F. Tierney,3.601689605
Byron L. Dorgan,3.581483331
Judy Biggert,3.477426681
Tim Murphy,3.459956708
Charles E. Schumer,3.427987276
Mac Thornberry,3.4186853
Barbara Lee,3.389993683
Sam Johnson,3.371496556
Sheila Jackson Lee,3.297086051
Barack Obama,3.211940541
Dianne Feinstein,3.209095738
Peter A. DeFazio,3.152557898
Dennis Moore,3.121061902
Jim McDermott,3.117456244
David Scott,3.106256103
Michael N. Castle,3.093727545
Fred Upton,3.057018632
Vernon J. Ehlers,3.05619264
Howard P. "Buck" McKeon,2.975727611
Jeff Bingaman,2.95956648
Greg Ganske,2.936524874
Ernest F. Hollings,2.894069968
Jackie Speier,2.890893916
"F. James Sensenbrenner, Jr.",2.881317033
Kent Conrad,2.824479389
Daniel K. Akaka,2.80089935
James A. Leach,2.738149264
Jerry Moran,2.714526548
Raul M. Grijalva,2.705828496
Timothy H. Bishop,2.691742929
Jesse Helms,2.65718136
Bobby L. Rush,2.632497623
Dale E. Kildee,2.601261057
Louise McIntosh Slaughter,2.600801929
Tom Harkin,2.575209997
Jim Saxton,2.534088665
Nancy Pelosi,2.527375958
Kathy Castor,2.515208306
Steny H. Hoyer,2.470998575
Leonard Lance,2.470891544
Edolphus Towns,2.462720918
Christopher J. Dodd,2.457637035
John Ashcroft,2.365623596
Dave Camp,2.263396948
"Bill Pascrell, Jr.",2.259329692
Christopher Shays,2.2379267
Mike DeWine,2.205918236
Diane Black,2.205058235
Lamar Alexander,2.183871754
John Campbell,2.148600516
Bill McCollum,2.120837335
Rick Larsen,2.101685142
Juanita Millender-McDonald,2.074336425
Patrick J. Kennedy,2.038970108
Sam Graves,2.022950902
Hilda L. Solis,2.016464221
John Barrow,1.957392527
John J. Duncan,1.932202146
Debbie Stabenow,1.903547545
Debbie Wasserman Schultz,1.891194371
Alcee L. Hastings,1.850668703
Jason Chaffetz,1.847958092
Tom Price,1.811682545
Thomas H. Allen,1.797424893
Suzanne Bonamici,1.795121461
Mazie K. Hirono,1.765877311
Susan M. Collins,1.733879711
Robert J. Wittman,1.725062611
Fred Thompson,1.724729118
Gus M. Bilirakis,1.716474343
Charlie Melancon,1.708530985
Tammy Baldwin,1.703436104
Brian Baird,1.701167827
James E. Risch,1.687661188
Ander Crenshaw,1.680637126
Gene Green,1.629760798
J. Randy Forbes,1.617354926
William H. Frist,1.613627296
Eliot L. Engel,1.575343641
Steve Austria,1.546212113
