name,value
Tom Lantos,29.79584571
Benjamin A. Gilman,25.66165936
Edward J. Markey,18.52384577
John Joseph Moakley,18.05115743
Don Young,16.16479743
"Jesse L. Jackson, Jr.",15.56970646
George Miller,15.52482724
David Wu,13.30568596
W. J. (Billy) Tauzin,12.3567564
Tom DeLay,12.08149237
Philip M. Crane,12.00306444
Joe Scarborough,11.74791949
Ellen O. Tauscher,11.66943222
Edward M. Kennedy,11.06017147
Ileana Ros-Lehtinen,10.34708153
John Lewis,10.29793339
Nancy E. Boyda,10.11049479
Michael F. Doyle,9.526860572
Christopher H. Smith,9.271522795
Julia Carson,8.359465646
Carolyn McCarthy,8.036130438
Dennis J. Kucinich,7.932056765
Bennie G. Thompson,7.863155347
Anthony D. Weiner,7.835267342
Helen Chenoweth-Hage,7.706108362
Rush Holt,7.031876658
Heather Wilson,6.899399398
Harold Rogers,6.838007705
Stephanie Tubbs Jones,6.807935405
Gordon H. Smith,6.77165827
"John Conyers, Jr.",6.639154323
Tom Davis,6.493314501
"Frank Pallone, Jr.",6.471178127
Nita M. Lowey,6.45840864
Mary L. Landrieu,5.953109607
Jerrold Nadler,5.90257274
Richard Burr,5.840538307
Janice D. Schakowsky,5.810578188
Richard J. Durbin,5.664139929
Wm. Lacy Clay,5.493170855
Richard G. Lugar,5.376598852
Michael M. Honda,5.363790388
Betty McCollum,5.322911928
Barney Frank,5.303258557
John F. Kerry,5.273859775
Lynn C. Woolsey,4.984685912
Carolyn B. Maloney,4.786472173
Sam Gejdenson,4.670279187
Max Baucus,4.523401592
Byron L. Dorgan,4.364850908
David Scott,4.35337489
Thaddeus G. McCotter,4.264323106
Henry J. Hyde,4.223670376
Jeff Bingaman,4.182784746
Mac Thornberry,3.880843779
Jim McDermott,3.864994484
Tony P. Hall,3.699986233
Jerry Moran,3.682899202
James P. McGovern,3.583631661
Dennis Moore,3.581625605
Raul M. Grijalva,3.560558657
Fred Upton,3.441602594
Greg Ganske,3.327784056
Kent Conrad,3.216575484
Dale E. Kildee,3.21090618
Barack Obama,3.205373496
Dianne Feinstein,3.095046697
"F. James Sensenbrenner, Jr.",3.089143826
Nancy Pelosi,3.066836714
Ernest F. Hollings,3.060004412
Steny H. Hoyer,3.045330956
Joseph I. Lieberman,3.04420269
Sam Johnson,3.026619857
Jim Saxton,3.013275388
Daniel K. Akaka,2.983296196
Kathy Castor,2.960904803
Michael N. Castle,2.906052826
Jesse Helms,2.904303062
James A. Leach,2.886102451
Edward R. Royce,2.813316079
John Ashcroft,2.810472492
Christopher Shays,2.767663772
Lamar Alexander,2.730886641
Vernon J. Ehlers,2.679673149
Charlie Melancon,2.672939315
Olympia J. Snowe,2.647618856
Mike DeWine,2.606122248
Alcee L. Hastings,2.529139352
Christopher J. Dodd,2.407198241
Juanita Millender-McDonald,2.390491001
John Barrow,2.341614105
Jackie Speier,2.294360232
Bill McCollum,2.227511336
Brian Baird,2.22249864
Hilda L. Solis,2.215307128
Debbie Stabenow,2.18228185
John J. Duncan,2.12757277
Debbie Wasserman Schultz,2.096867603
Eliot L. Engel,2.061358343
Fred Thompson,2.022144669
